id,title,description,link,product_type,google_product_category,image_link,condition,availability,sale_price,price,mpn,brand,item_group_id
1620,"Tricô Gola e Punho Princesa - Vinho - Único","Tricô Gola e Manga Princesa, manga longa.    <strong>Composição:</strong>  100% Acrílico",https://www.folen.com.br/produto/trico-gola-e-punho-princesa-vinho/?attribute_pa_tamanho=unico,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/07/Folen_0020_Tricô-gola-e-punho-princesa-1.JPG.png,new,"in stock",109.90BRL,"149.00 BRL",0.00,com,1619
1619,"Tricô Gola e Punho Princesa - Vinho","Tricô Gola e Manga Princesa, manga longa.    <strong>Composição:</strong>  100% Acrílico",https://www.folen.com.br/produto/trico-gola-e-punho-princesa-vinho/,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/07/Folen_0020_Tricô-gola-e-punho-princesa-1.JPG.png,new,"in stock",109.90BRL,"149.00 BRL",0.00,com,1619
1615,"Tricô Gola - Verde","Tricô Gola manga longa.    <strong>Composição:</strong>  100% Acrílico",https://www.folen.com.br/produto/trico-gola-verde/,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/07/Folen_0019_TRICÔ-GOLA-VERDE-2.JPG.png,new,"in stock",109.90BRL,"149.00 BRL",0.00,com,1615
1617,"Tricô Gola - Verde - Único","Tricô Gola manga longa.    <strong>Composição:</strong>  100% Acrílico",https://www.folen.com.br/produto/trico-gola-verde/?attribute_pa_tamanho=unico,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/07/Folen_0019_TRICÔ-GOLA-VERDE-2.JPG.png,new,"in stock",109.90BRL,"149.00 BRL",0.00,com,1615
1612,"Tricô Gola - Bege","Tricô Gola manga longa.    <strong>Composição:</strong>  100% Acrílico",https://www.folen.com.br/produto/trico-gola-bege/,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/07/Folen_0017_tricô-gola-bege-2.JPG.png,new,"in stock",109.90BRL,"149.00 BRL",0.00,com,1612
1613,"Tricô Gola - Bege - Único","Tricô Gola manga longa.    <strong>Composição:</strong>  100% Acrílico",https://www.folen.com.br/produto/trico-gola-bege/?attribute_pa_tamanho=unico,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/07/Folen_0017_tricô-gola-bege-2.JPG.png,new,"in stock",109.90BRL,"149.00 BRL",0.00,com,1612
1610,"Tricô Colors","Tricô Colors manga longa.    <strong>Composição:</strong>  100% Algodão",https://www.folen.com.br/produto/trico-colors/,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/07/tricô-COLORS-FOLEN.png,new,"in stock",88.90BRL,"119.00 BRL",0.00,com,1610
1611,"Tricô Colors - Único","Tricô Colors manga longa.    <strong>Composição:</strong>  100% Algodão",https://www.folen.com.br/produto/trico-colors/?attribute_pa_tamanho=unico,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/07/tricô-COLORS-FOLEN.png,new,"in stock",88.90BRL,"119.00 BRL",0.00,com,1610
1607,"Tricô Rainbow","Tricô Rainbow manga longa.    <strong>Composição:</strong>  100% Acrílico",https://www.folen.com.br/produto/trico-rainbow/,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/07/Folen_0027_TRICÔ-RAINBOW-1.JPG.png,new,"in stock",88.90BRL,"119.00 BRL",0.00,com,1607
1608,"Tricô Rainbow - Único","Tricô Rainbow manga longa.    <strong>Composição:</strong>  100% Acrílico",https://www.folen.com.br/produto/trico-rainbow/?attribute_pa_tamanho=unico,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/07/Folen_0027_TRICÔ-RAINBOW-1.JPG.png,new,"in stock",88.90BRL,"119.00 BRL",0.00,com,1607
